# period  BIC_array
1.409811253668786435e+01 4.260253575930619263e-01
1.410205467905302612e+01 1.214788268321171927e-01
1.410599902665425454e+01 8.718915284282502398e-02
1.410994558134247967e+01 5.921471942333482730e-01
1.411389434497070638e+01 1.463415370405641625e+00
1.411784531939401433e+01 2.128046922900921345e+00
1.412179850646955792e+01 2.131266665515681780e+00
1.412575390805658238e+01 1.785488073871874803e+00
1.412971152601640412e+01 1.061534927440675347e+00
1.413367136221243392e+01 3.281999155608446017e-01
1.413763341851016619e+01 2.332277067239374446e-02
1.414159769677718970e+01 3.695901602369531247e-01
1.414556419888319638e+01 1.095050639709256757e+00
1.414953292669996543e+01 1.552754963300913005e+00
1.415350388210138277e+01 1.381116048485409920e+00
1.415747706696343755e+01 8.249523324063829932e-01
1.416145248316422389e+01 3.955499311774701710e-01
1.416543013258394978e+01 4.531849767251969752e-01
1.416941001710493353e+01 1.329032651921806973e+00
1.417339213861161085e+01 3.004564798521300872e+00
1.417737649899053487e+01 4.594670284230460311e+00
1.418136310013038148e+01 4.890256853124128611e+00
1.418535194392195287e+01 3.572637317525163780e+00
1.418934303225817928e+01 1.623474716043801891e+00
1.419333636703411905e+01 2.122410912443228881e-01
1.419733195014696570e+01 1.732404145245709515e-01
1.420132978349604613e+01 1.495345299493010316e+00
1.420532986898284022e+01 3.197028396438327036e+00
1.420933220851095413e+01 4.271802544514343936e+00
1.421333680398615051e+01 4.264754097742752492e+00
1.421734365731633787e+01 3.365457603896174987e+00
1.422135277041157586e+01 2.316860570249332341e+00
1.422536414518408066e+01 2.192085331611110632e+00
1.422937778354822491e+01 3.127382768624897835e+00
1.423339368742054489e+01 3.745938548084268405e+00
1.423741185871973691e+01 3.195785412301461292e+00
1.424143229936667154e+01 1.866013487178975083e+00
1.424545501128438474e+01 6.010434240414497253e-01
1.424947999639808494e+01 4.351083314925290324e-01
1.425350725663515838e+01 2.389512846719753725e+00
1.425753679392517270e+01 6.260828259225149850e+00
1.426156861019987154e+01 9.596496894560345936e+00
1.426560270739319769e+01 1.024257832743467134e+01
1.426963908744126996e+01 8.259531016602181808e+00
1.427367775228240099e+01 4.745463104553891753e+00
1.427771870385710606e+01 1.365089087790693156e+00
1.428176194410808897e+01 -1.588840428394178161e-02
1.428580747498025971e+01 1.088806649692401152e+00
1.428985529842073277e+01 2.969469445976187671e+00
1.429390541637883061e+01 4.520585380651141350e+00
1.429795783080607841e+01 4.856422910061155562e+00
1.430201254365623065e+01 4.076832935258721591e+00
1.430606955688524451e+01 3.042943331662854689e+00
1.431012887245130294e+01 2.808117891048823367e+00
1.431419049231481289e+01 3.342240498887463218e+00
1.431825441843840352e+01 4.349315463720699881e+00
1.432232065278693334e+01 5.681715616213864450e+00
1.432638919732750438e+01 6.696795185938071882e+00
1.433046005402944090e+01 6.023144114285969408e+00
1.433453322486431070e+01 3.932198987590254546e+00
1.433860871180592866e+01 2.034362601775796975e+00
1.434268651683034612e+01 1.337379937687728670e+00
1.434676664191587214e+01 1.396661106737269620e+00
1.435084908904305934e+01 1.507400765399779630e+00
1.435493386019472162e+01 1.577183268704516195e+00
1.435902095735592354e+01 1.847614331500835760e+00
1.436311038251400340e+01 2.474803050575701491e+00
1.436720213765855370e+01 3.178044245199089346e+00
1.437129622478143531e+01 3.601377887195553740e+00
1.437539264587678645e+01 3.534017661248185505e+00
1.437949140294101014e+01 2.850522409001996493e+00
1.438359249797279915e+01 1.691217258762549136e+00
1.438769593297311822e+01 6.590534016550009255e-01
1.439180170994521824e+01 1.482272857014095280e-01
1.439590983089463627e+01 5.320189197539093584e-02
1.440002029782920268e+01 1.725727971412425177e-01
1.440413311275903929e+01 2.955322381170617518e-01
1.440824827769656480e+01 4.046815174995117559e-01
1.441236579465650358e+01 5.829783300598592177e-01
1.441648566565587508e+01 1.202768775492245368e+00
1.442060789271400978e+01 2.116093077041568904e+00
1.442473247785255275e+01 3.042593689672003165e+00
1.442885942309545833e+01 3.689845035837151954e+00
1.443298873046899722e+01 3.796125770303660829e+00
1.443712040200176006e+01 3.182080224565538629e+00
1.444125443972466094e+01 2.207504236035106260e+00
1.444539084567094633e+01 1.267758548418896680e+00
1.444952962187618795e+01 8.132892900674733028e-01
1.445367077037829162e+01 7.438123556693199134e-01
1.445781429321749734e+01 1.055244034674274189e+00
1.446196019243638986e+01 1.592542610208397491e+00
1.446610847007989697e+01 2.180994229164639364e+00
1.447025912819529125e+01 2.810951628344014352e+00
1.447441216883219717e+01 3.535918120591986735e+00
1.447856759404259286e+01 4.010195802240446028e+00
1.448272540588080659e+01 4.119992126012220979e+00
1.448688560640354339e+01 3.681992879070321578e+00
1.449104819766985841e+01 3.002486439416088615e+00
1.449521318174117646e+01 2.529248092851958063e+00
1.449938056068129555e+01 2.667539148472428678e+00
1.450355033655638337e+01 3.540925439077909687e+00
1.450772251143499503e+01 4.689413421127483161e+00
1.451189708738805528e+01 5.257051393774304415e+00
1.451607406648887810e+01 4.954563644723407378e+00
1.452025345081316487e+01 4.171357890993363071e+00
1.452443524243900974e+01 3.317612291633736277e+00
1.452861944344689782e+01 2.516224390291540658e+00
1.453280605591971408e+01 1.765757286317352737e+00
1.453699508194274692e+01 1.116481546206046005e+00
1.454118652360368635e+01 7.064109708825299094e-01
1.454538038299263469e+01 4.719581347711709896e-01
1.454957666220210299e+01 2.955577012031653794e-01
1.455377536332701993e+01 1.832217003548066714e-01
1.455797648846473002e+01 6.741542982695136743e-02
1.456218003971500075e+01 6.537514963815738156e-02
1.456638601918003140e+01 6.418613671405637433e-02
1.457059442896444423e+01 5.008925251320306415e-02
1.457480527117529689e+01 1.079331440773785289e-01
1.457901854792208240e+01 1.431891492336490046e-01
1.458323426131673273e+01 2.316804337552866855e-01
1.458745241347362587e+01 4.700558796473615075e-01
1.459167300650958765e+01 9.238176051836717306e-01
1.459589604254388817e+01 1.584112091760971452e+00
1.460012152369826133e+01 2.311889069628250581e+00
1.460434945209689062e+01 3.789035443244301860e+00
1.460857982986641979e+01 5.855516700455609680e+00
1.461281265913596705e+01 7.155657457824872836e+00
1.461704794203711266e+01 6.815680379315381288e+00
1.462128568070390777e+01 5.896518055867886687e+00
1.462552587727287623e+01 5.055779251447802380e+00
1.462976853388303233e+01 4.391628199314141057e+00
1.463401365267586307e+01 3.647874269808426106e+00
1.463826123579534588e+01 3.064294286137283052e+00
1.464251128538794333e+01 2.737068758117175094e+00
1.464676380360261732e+01 2.275755885217790819e+00
1.465101879259082551e+01 1.524483410720563370e+00
1.465527625450652316e+01 7.124094494815835787e-01
1.465953619150617371e+01 1.271368792623661648e-01
1.466379860574874705e+01 4.844235865334667324e-03
1.466806349939572485e+01 3.315758318079815581e-01
