,index,name,teff,teff_err,teff_seg_std,teff_uncal,logg,logg_err,logg_seg_std,logg_uncal,fe,fe_err,fe_seg_std,fe_uncal,vsini,vsini_err,iso_mass,iso_mass_err1,iso_mass_err2,iso_radius,iso_radius_err1,iso_radius_err2,iso_logage,iso_logage_err1,iso_logage_err2,iso_age,iso_age_err1,iso_age_err2,iso_teff,iso_teff_err1,iso_teff_err2,iso_logg,iso_logg_err1,iso_logg_err2,iso_fe,iso_fe_err1,iso_fe_err2,iso_parallax,iso_parallax_err1,iso_parallax_err2
397,1268,gl273,5160.20436399,100.0,865.8076914119999,5238.13704251,4.6763272635,0.1,0.865600414452,4.36455214091,-0.744188528441,0.06,0.992624256294,-0.8689204187790001,36.8720284679,,0.663092241765,0.025039317270800002,-0.0243966108372,0.628751155071,0.020731228709,-0.0189764093892,9.80027546849,0.2475474235,-0.501872527172,,4.8505019567000005,-4.32563832678,5155.45633908,103.099300789,-97.53314001870001,4.66109632746,0.023089428273400003,-0.025388509438900003,-0.768070115969,0.0605858999311,-0.06251957177640001,7.84075670223,0.323481169307,-0.320114612259
398,1270,55696,6047.07922524,100.0,116.98867979,6073.74960065,4.0596864427199995,0.1,0.17661420067400002,4.25580850493,0.339419945524,0.06,0.0928815480902,0.371262717946,6.998216586539999,,1.3743451953799999,0.110892034919,-0.094651848957,1.7407051736,0.289571588665,-0.245581345346,9.443741739110001,0.0944897008347,-0.09600811101399999,,0.6752164360799999,-0.550991982455,6030.10847115,101.153038889,-101.62113965299999,4.08393673792,0.10493635373299999,-0.102840902096,0.313900504649,0.0626933002353,-0.0602264298953,2.5460832362,0.429084016136,-0.365837029276
399,1274,gl408,4722.200824685,100.0,700.0430182109999,4825.450570115,4.6666816863200005,0.1,0.8763771704095,4.28758596554,-0.8862158678765,0.06,0.647394983231,-1.0274967183000001,60.9697803536,,0.578558961373,0.019258209493300003,-0.018285243907049997,0.550014778203,0.016116320242749997,-0.0160871388231,9.845726604685002,0.2204027109915,-0.467010781774,,4.62903785717,-4.618105120045,4719.8731108150005,99.02016824665,-98.50322307635,4.718509028855,0.01880223349725,-0.018494073790300002,-0.909412178835,0.058565908469450007,-0.062463386953399994,9.503338652795,0.4161387764845,-0.397995383885
400,1277,gl450,4562.73116218,100.0,387.76051805,4675.19842243,4.77570520535,0.1,0.6589955891920001,4.39332319736,-0.907504910431,0.06,0.412144233027,-1.04878576085,2.9449600350800003,,0.549447414363,0.0193851889339,-0.019377330127999998,0.5219255396,0.0167794386717,-0.0178836016932,9.80782412462,0.24641462602800002,-0.497827331639,,4.9059556229400005,-4.38255215266,4547.14705867,101.46762248299999,-101.65250862,4.7423607403800005,0.0189386734613,-0.0185455365837,-0.933523534702,0.0624844824995,-0.060325362321,10.3044333485,0.574590543531,-0.48802514628700006
401,1278,hip8051,4776.20576451,100.0,828.1473006939999,4876.33396741,4.7651641410800005,0.1,0.846081252304,4.4109488398500005,-0.836807144914,0.06,0.6389214749050001,-0.974921847391,59.0278639478,,0.591442352079,0.0202276795413,-0.0188919040387,0.561457944903,0.0158246262383,-0.016502247007899998,9.787012931989999,0.259856572049,-0.506008515034,,5.01591136873,-4.21381357687,4763.07197133,103.307524678,-98.69476679379999,4.711184859569999,0.0178232809819,-0.019373551874900002,-0.8646057384999999,0.0599594838256,-0.0625801255445,9.23086531318,0.402738525477,-0.36105337993500003
402,1284,83443,5488.82069299,100.0,62.7767943618,5547.75900083,4.2075102339,0.1,0.11007278623700001,4.44464279773,0.415943892603,0.06,0.0488707562818,0.45884389786799995,0.319717807932,,1.04388156228,0.0701365106835,-0.0509016332493,1.2606426470799998,0.17420845717500003,-0.14734674323799998,9.93955664101,0.105040585911,-0.15665369804,,2.38071720518,-2.63474151435,5501.09448397,103.076143915,-99.8194936486,4.24501535991,0.09739917409080001,-0.09077637399380001,0.388604089916,0.050005896747000005,-0.058878415192300006,3.6994223662,0.501658289387,-0.462107841168
403,1287,bd-103166,5426.90041902,100.0,51.3444813272,5489.41778405,4.3624028287300005,0.1,0.106432151215,4.59936701339,0.406995446352,0.06,0.0486556694509,0.448602456972,0.311093304628,,1.0043257575700002,0.0440938246282,-0.042247913652300004,1.04975609236,0.118381811979,-0.08293697379989999,9.87655150318,0.15684854365599998,-0.316105454966,,3.27363069685,-3.8912682272600003,5422.7921051,98.9726610366,-93.2607682698,4.38695506577,0.07649781636400001,-0.0874750933777,0.377673602362,0.054139023495300004,-0.05968107217540001,4.47240368651,0.403346901352,-0.465856194225
404,1289,99109,5365.73575311,100.0,56.1169755953,5431.788500399999,4.25499911435,0.1,0.0930067713628,4.49744716726,0.424289386346,0.06,0.029543330310400004,0.468395263381,0.317370854749,,0.9920818596080001,0.0454411397186,-0.0371077655241,1.1385169406,0.162784066451,-0.11969302724099999,10.0134827201,0.08461366556639999,-0.154957497666,,2.218872876,-3.09551943528,5384.55372303,92.05727502379999,-79.2616886505,4.31136139369,0.09012355019519999,-0.104312797382,0.39588516559799997,0.0461003449525,-0.0551789474048,4.1407192282,0.510848749378,-0.527777812811
405,1290,gl433,4654.02121634,100.0,574.193992292,4761.21181509,4.6519115628600005,0.1,0.739264600873,4.30349112675,-0.876818283725,0.06,0.480878678991,-1.01809913415,2.8744801216900004,,0.5704221396729999,0.018639260854099997,-0.018543772141900002,0.542757159834,0.0164864418411,-0.0165682647202,9.85485731289,0.213900070445,-0.45932861604099995,,4.55881593107,-4.6661773872,4646.82496758,98.6177753315,-100.32946171200001,4.72354003248,0.018542827116799998,-0.0184901684538,-0.8995616659100001,0.0613252818996,-0.061234464588099995,9.71490649385,0.462145443611,-0.41748035371500003
406,1291,hip54532,4774.32033792,100.0,809.2176745139999,4874.55752046,4.6683755714099995,0.1,0.816671476231,4.33433856916,-0.7897423840710001,0.06,0.626648609369,-0.921056522291,168.001283424,,0.597245395572,0.0206156275965,-0.019276351096400003,0.569844614247,0.0160369383696,-0.0158871251565,9.83369124941,0.22978126144000002,-0.480517149331,,4.75516997475,-4.56339467905,4772.42424223,99.10587305450001,-103.08302360399999,4.70205537041,0.0185904904753,-0.0194790338653,-0.813528988419,0.05991992134119999,-0.06263919304030001,9.069563590269999,0.397313074265,-0.34794847803900003
