,curv,dvdt,e1,e2,e3,e4,gamma_apf,gamma_j,gamma_k,gamma_lick,jit_apf,jit_j,jit_k,jit_lick,k1,k2,k3,k4,num_planets,per1,per2,per3,per4,secosw1,secosw2,secosw3,secosw4,sesinw1,sesinw2,sesinw3,sesinw4,star,tc1,tc2,tc3,tc4,tp1,tp2,tp3,tp4,w1,w2,w3,w4
76,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,17190,,,,,,,,,,,,
77,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,17660,,,,,,,,,,,,
78,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,18143,,,,,,,,,,,,
79,5.154557914139927e-06,0.0791031724201023,,,,,,-172.81296719749488,-178.0249821848944,,,400.73959091139636,15.486093465275722,,2009.2804267195656,,,,1,560.2432061490791,,,,-0.36366793545785303,,,,0.8149550955270943,,,,18445,884.0314233542933,,,,,,,,,,,
80,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,18632,,,,,,,,,,,,
81,-1.292597736267673e-07,0.0011521107484212271,,,,,,-3.5236842108454183,7.804428379809568,,,2.554502411044565,5.02386708868847,,6.324257550747031,,,,1,1976.8998931373328,,,,-0.29040456125917075,,,,-0.5126460427768267,,,,18803,1139.1956272469295,,,,,,,,,,,
82,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,19034,,,,,,,,,,,,
83,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,19467,,,,,,,,,,,,
84,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,19308,,,,,,,,,,,,
85,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,,,,0,,,,,,,,,,,,,19373,,,,,,,,,,,,
86,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,20165,,,,,,,,,,,,
87,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,20619,,,,,,,,,,,,
88,0.0,0.0,,,,,,0.0,0.0,0.0,,2.0,2.0,2.0,,,,,0,,,,,,,,,,,,,20675,,,,,,,,,,,,
89,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,21019a,,,,,,,,,,,,
90,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,hip15904,,,,,,,,,,,,
91,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,21197,,,,,,,,,,,,
92,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,21313,,,,,,,,,,,,
93,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,21774,,,,,,,,,,,,
94,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,hip16404,,,,,,,,,,,,
95,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,21847,,,,,,,,,,,,
96,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,2.0,2.0,,,,,,0,,,,,,,,,,,,,22072,,,,,,,,,,,,
97,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,22282,,,,,,,,,,,,
98,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,22879,,,,,,,,,,,,
99,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,2.0,2.0,,,,,,0,,,,,,,,,,,,,23249,,,,,,,,,,,,
100,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,2.0,2.0,,,,,,0,,,,,,,,,,,,,23356,,,,,,,,,,,,
101,0.0,0.0,,,,,0.0,0.0,0.0,,2.0,2.0,2.0,,,,,,0,,,,,,,,,,,,,23439,,,,,,,,,,,,
102,-3.793399227822395e-07,0.0057610062437252205,,,,,,-3.5820305266985177,-6.436363115506943,,,3.1356933295919474,3.170302403644156,,50.0607447046512,4.5946191037449156,,,2,3473.3020505089808,517.0067193894505,,,0.07673621371934056,0.14093509791938458,,,-0.1379390780926586,0.3102697284121651,,,24040,-5701.557643564615,2454978.19956819,,,,,,,,,,
103,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,24213,,,,,,,,,,,,
104,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,24365,,,,,,,,,,,,
105,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,24496,,,,,,,,,,,,
106,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,s130811,,,,,,,,,,,,
107,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,24341,,,,,,,,,,,,
108,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,24238,,,,,,,,,,,,
109,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,24727,,,,,,,,,,,,
110,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,24892,,,,,,,,,,,,
111,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,24916,,,,,,,,,,,,
112,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,24451,,,,,,,,,,,,
113,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,25682,,,,,,,,,,,,
114,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,281540,,,,,,,,,,,,
115,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,25825,,,,,,,,,,,,
116,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,26151,,,,,,,,,,,,
117,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,26161,,,,,,,,,,,,
118,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,26794,,,,,,,,,,,,
119,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,,,,0,,,,,,,,,,,,,26965,,,,,,,,,,,,
120,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,28187,,,,,,,,,,,,
121,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,28005,,,,,,,,,,,,
122,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,28343,,,,,,,,,,,,
123,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,232979,,,,,,,,,,,,
124,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,hip21556,,,,,,,,,,,,
125,-0.0001522922234267347,0.04552281522221608,,,,,,580.4036482469858,1723.6111910196619,,,686.6952300818238,5.64013442443382,,257.3351698032529,,,,1,2238.044517792067,,,,0.4735545865953026,,,,-0.24591992699612522,,,,29461,854.2257099910167,,,,,,,,,,,
126,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,29528,,,,,,,,,,,,
127,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,285968,,,,,,,,,,,,
128,0.0,0.0,,,,,,0.0,0.0,,,2.0,2.0,,,,,,0,,,,,,,,,,,,,30708,,,,,,,,,,,,
129,-5.925287382458729e-05,0.34926578732222346,,,,,,18.839228185727666,-93.72246252084796,,,67.21175443549993,4.045440242277108,,850.1784270230925,,,,1,5817.3879295842735,,,,0.1859119453338904,,,,-0.32460577022220055,,,,30649,1233.6101896529724,,,,,,,,,,,
130,5.848396671155468e-08,-0.0005523385446516378,,,,,,3.910425492725093,14.969975767856239,,,4.20623494095727,9.915367030787207,,24.423561388005794,,,,1,2359.2513692128678,,,,-0.3436207587585913,,,,0.25968460482260075,,,,hip22627,-8197.829767534464,,,,,,,,,,,
