,index,name,type,teff,teff_err,fe,fe_err,iso_mass,iso_mass_err1,iso_mass_err2,iso_radius,iso_radius_err1,iso_radius_err2,iso_logage,iso_logage_err1,iso_logage_err2,iso_teff,iso_teff_err1,iso_teff_err2,iso_logg,iso_logg_err1,iso_logg_err2,iso_fe,iso_fe_err1,iso_fe_err2
1357,1357,92222a,synth,5661.46385081,100.0,0.243554718764,0.06,1.04018737213,0.0434827733468,-0.04267400648130001,0.9971339741390001,0.0673190003283,-0.051344133546599995,9.42072153078,0.32101845402199997,-0.495471936487,5623.94603748,103.92103960899999,-92.4979442638,4.45620078996,0.038786462400800005,-0.0556385929899,0.212373655632,0.06307649471919999,-0.05941522705130001
1358,1358,91204,synth,5880.29126941,100.0,0.241003718911,0.06,1.19075029509,0.102486318032,-0.08174914442060001,1.5001096127000002,0.21985893122400002,-0.187315672991,9.67273727036,0.13760414343,-0.118885388526,5863.40213282,97.1998259257,-86.93919384739999,4.15299382605,0.09343785807669999,-0.090876855061,0.21649995109499998,0.06141243913530001,-0.0589018436133
1359,1359,103432,synth,5628.86889846,100.0,-0.071649093152,0.06,0.909611629413,0.0402492556053,-0.0394115538803,0.888055966002,0.0608663752186,-0.0451419838781,9.63429290354,0.290699293053,-0.487350808719,5614.86707203,93.8761803726,-99.82077040840001,4.49926530262,0.041236377594099996,-0.0640389814819,-0.09957962726839999,0.061326425110400005,-0.0610347309918
1360,1360,90125,synth,4792.54621577,100.0,-0.17000315930100002,0.06,1.22785227425,0.41309933191,-0.245687544103,6.25842585049,1.7272189046200002,-0.9933637965600001,9.64039605498,0.34164896078,-0.435193393211,4822.24743605,87.2286058276,-65.8968347957,2.92142156186,0.0999429460823,-0.0947247578231,-0.186177502755,0.0624951457455,-0.0593656376397
1361,1361,98630,synth,6036.61229587,100.0,0.30901592401,0.06,1.50234678838,0.12446050162200001,-0.12492492359099999,2.17438363249,0.335383323415,-0.295945817385,9.39313468123,0.119917563016,-0.103696245667,6022.83259911,97.2989407375,-88.1827859308,3.9287357273900003,0.0966399183998,-0.0923543065064,0.284523622925,0.0594923693418,-0.0614462776953
1362,1362,138549,synth,5583.07953712,100.0,0.0862334356892,0.06,0.948178925131,0.0462154687414,-0.04207502644640001,0.9675325781149999,0.09091613584960001,-0.062138699778,9.805537776569999,0.204941018278,-0.40666224433,5577.56392505,93.4552339757,-96.5039167984,4.43776344265,0.062810031396,-0.0811575174961,0.0637624980311,0.062184697441400004,-0.059415768224
1363,1363,144988,synth,5822.61704321,100.0,-0.165787076602,0.06,1.0436816811299998,0.0986748651732,-0.0807421826826,1.79399857738,0.298842184522,-0.251104929422,9.86516483571,0.11637426877599999,-0.136350026765,5819.81845828,99.0261976817,-97.6960635106,3.9377598966400003,0.09969059773530001,-0.0971619146534,-0.18666786101399999,0.0626365717477,-0.0596858326679
1364,1364,145809,synth,5679.34291478,100.0,-0.238000647611,0.06,0.9013768179100001,0.054438836291899995,-0.033319380551299994,1.44782697875,0.190982633125,-0.183707333084,10.0711781132,0.049970119061400003,-0.0820656337136,5730.77998787,81.95408093270001,-86.25851500659999,4.062586383169999,0.10703233727099999,-0.0889095150902,-0.246328837389,0.06063051767969999,-0.05959689146319999
1365,1365,146775,synth,5812.61222866,100.0,-0.0386953787319,0.06,0.964314250908,0.0487865910384,-0.04681636123269999,1.0621985436399999,0.124514483402,-0.0943709107899,9.84865426308,0.141795111353,-0.27484616968000003,5804.59011745,99.05448980959999,-97.06815396020001,4.35881068845,0.0859428968826,-0.0927378361376,-0.0623248987954,0.05941549920530001,-0.0624083013891
1366,1366,156826,synth,5129.91432867,100.0,-0.146834805272,0.06,1.13769674605,0.181797755453,-0.156082474275,2.67741300845,0.448399572953,-0.395228270451,9.754590896849999,0.22841945543900002,-0.232902045876,5099.17682558,90.6237504485,-82.4364492773,3.6320468173800005,0.0890270177183,-0.08891040080649999,-0.173512471994,0.0608928816927,-0.0612377198145
1367,1367,hip80295,synth,4845.61094741,100.0,0.0592005452931,0.06,0.7815292621529999,0.030124206263599997,-0.0299043086724,0.750078087298,0.0280602945133,-0.0247837059688,9.82530057493,0.23300185569899998,-0.478437325844,4840.67190586,98.7664448163,-98.8901647933,4.57903291047,0.0256220929539,-0.0290919336457,0.033854707250999996,0.060398201383600005,-0.0623472312232
1368,1368,150433,synth,5591.14975594,100.0,-0.298446238209,0.06,0.822181736258,0.0332125121801,-0.0272021318413,0.9157016983319999,0.11903082434800001,-0.07065959896810001,10.0736424796,0.051976205883200004,-0.141842899396,5665.60459709,96.85246779120001,-104.620374439,4.41878429606,0.0664664864937,-0.0941046104593,-0.303618322848,0.0621936025301,-0.06273567898030001
1369,1369,150437,synth,5792.11446057,100.0,0.335041815009,0.06,1.2167191805600002,0.107085483317,-0.0906175903717,1.55757950604,0.23488694537500002,-0.19019952780699997,9.68155214094,0.143802867238,-0.12066263484,5778.34115921,93.3467206572,-85.2070983047,4.12891689836,0.08923090821799999,-0.091456708802,0.310480973938,0.0606903003374,-0.0577061672952
1370,1370,150698,synth,5817.91655444,100.0,0.22956401402899998,0.06,1.2498880664799998,0.126848884579,-0.10003968439500001,1.85129444963,0.276285005216,-0.239516697756,9.68554166758,0.12665118337,-0.149485639626,5833.11600252,100.97546809100001,-104.83731242399999,3.9925603781,0.0949286731569,-0.09411007297860001,0.21343731836100002,0.0624375935984,-0.06018953710199999
1371,1371,156365,synth,5837.12848839,100.0,0.309627882533,0.06,1.33014724316,0.137664338406,-0.120578104036,1.90582087665,0.29042557268,-0.249085735825,9.590968911980001,0.155251701239,-0.13906296113,5851.99054657,92.0754925381,-97.9702653194,3.9931101871300005,0.09257770476189998,-0.091641891634,0.290914137479,0.0580934167106,-0.06203845450619999
1372,1372,157172,synth,5476.61825497,100.0,0.19402789642299997,0.06,0.9551232138060001,0.0453566552111,-0.0401455919553,1.0054510236,0.10823131125999998,-0.076776030937,9.92669899048,0.143343645858,-0.317224461859,5482.71321359,92.55096807049999,-92.312891635,4.40369446125,0.07429413530489999,-0.08491938355810001,0.174336897872,0.061242087507499994,-0.0612067426185
