,hostname,status,pl_index,per,per_errplus,per_errminus,mass,mass_errplus,mass_errminus,axis,axis_errplus,axis_errminus,tc,tc_errplus,tc_errminus,w,w_errplus,w_errminus,k,k_errplus,k_errminus,e,e_errplus,e_errminus,letter
81,164922,K,2.0,75.817,0.037,0.038,0.0451,0.0036,0.0035,0.3411,0.0039,0.0039,2455221.1,2.3,2.0,0.03,0.79,0.9,2.31,0.18,0.17,0.096,0.088,0.066, c
82,164922,C,3.0,41.763,0.012,0.012,0.0331,0.0031,0.0031,0.2292,0.0026,0.0027,2455256.6,1.2,1.0,-0.3,1.3,0.87,2.06,0.19,0.19,0.086,0.083,0.06, e
83,164922,K,4.0,12.4584,0.0019,0.0023,0.0149,0.0021,0.0021,0.1023,0.0012,0.0012,2455198.58,0.62,0.77,-0.19,0.97,0.8,1.42,0.21,0.2,0.18,0.17,0.12, d
84,167042,K,1.0,418.17,0.87,0.89,1.59,0.13,0.13,1.304,0.04,0.042,2454232.0,6.0,5.8,0.52,0.86,1.9,30.8,1.5,1.5,0.092,0.061,0.057, b
88,168009,C,2.0,15.1479,0.0035,0.0037,0.03,0.0038,0.0037,0.1192,0.0017,0.0018,2455201.56,0.82,0.77,0.23,0.8,1.1,2.53,0.31,0.3,0.12,0.11,0.082, b
89,168443,K,1.0,58.11159,0.00011,0.00011,7.92,0.15,0.16,0.2977,0.0029,0.0029,2455272.957,0.011,0.01,-0.1188,0.0015,0.0015,477.01,0.5,0.51,0.5313,0.00062,0.00061, b
90,168443,K,2.0,1749.67,0.28,0.29,17.76,0.35,0.35,2.881,0.028,0.028,2455599.41,0.75,0.77,1.1295,0.006,0.006,298.04,0.4,0.4,0.2112,0.0013,0.0013, c
91,168746,K,1.0,6.4045,0.0001,0.00011,0.2294,0.0077,0.0075,0.06504,0.00055,0.00055,2454986.88,0.061,0.061,1.09,0.26,0.39,27.17,0.82,0.76,0.098,0.026,0.026, b
92,169830,K,1.0,225.789,0.074,0.081,2.956,0.07,0.069,0.813,0.0083,0.0084,2455515.75,0.84,0.84,-0.5,0.045,0.047,82.58,0.98,0.96,0.306,0.012,0.013, b
93,169830,K,2.0,1831.9,8.1,8.6,3.51,0.12,0.12,3.282,0.035,0.035,2455139.0,20.0,20.0,-0.63,0.13,0.14,48.1,1.3,1.3,0.257,0.019,0.019, c
94,170469,K,1.0,1130.0,17.0,25.0,0.555,0.075,0.072,2.213,0.04,0.044,2453003.0,71.0,50.0,-0.3,1.1,0.72,10.2,1.3,1.3,0.15,0.16,0.11, b
96,177830,K,1.0,407.37,0.21,0.22,1.348,0.096,0.099,1.18,0.04,0.043,2455452.4,2.1,2.0,-0.01,0.63,0.57,30.73,0.53,0.51,0.028,0.017,0.017, b
97,177830,K,2.0,111.163,0.064,0.052,0.104,0.016,0.015,0.496,0.017,0.018,2455177.0,2.5,2.8,-0.9,0.27,0.3,4.4,0.8,0.69,0.54,0.12,0.15, c
98,178911b,K,1.0,71.479,0.0018,0.0019,7.07,0.22,0.23,0.3399,0.0053,0.0055,2450292.68,0.16,0.16,-0.243,0.024,0.025,342.69,0.82,0.82,0.1132,0.0025,0.0025, b
99,179949,K,1.0,3.092535,1.7e-05,1.6e-05,0.967,0.03,0.031,0.04439,0.00045,0.00046,2453197.175,0.018,0.02,0.0,1.0,1.1,118.1,2.8,2.8,0.016,0.017,0.011, b
101,181234,K,1.0,7504.0,79.0,80.0,9.1,1.6,0.83,7.43,0.11,0.11,2457580.0,310.0,270.0,-1.2,2.5,0.25,160.0,64.0,35.0,0.792,0.069,0.083, b
106,186427,K,1.0,799.45,0.15,0.15,1.752,0.054,0.053,1.676,0.025,0.025,2456937.32,0.38,0.38,1.444,0.01,0.01,53.16,0.32,0.31,0.6832,0.0031,0.0031, b
107,187123,K,1.0,3.0965971,2.3e-06,2.2e-06,0.501,0.016,0.016,0.04186,0.00065,0.00066,2455665.934,0.003,0.005,0.32,0.78,1.2,68.92,0.27,0.27,0.004,0.004,0.0028, b
108,187123,K,2.0,3374.0,17.0,17.0,1.713,0.058,0.057,4.432,0.07,0.072,2458871.0,25.0,26.0,1.377,0.066,0.069,23.53,0.3,0.31,0.227,0.016,0.017, c
