,Nobs,Nobs_CORAVEL,Nobs_apf,Nobs_j,Nobs_k,Nobs_lick,Nobs_mcdonald,baseline,baseline_CORAVEL,baseline_apf,baseline_j,baseline_k,baseline_lick,baseline_mcdonald,med_err_CORAVEL,med_err_apf,med_err_j,med_err_k,med_err_lick,med_err_mcdonald,name
272,60,,29.0,16.0,15.0,,,8060.849374999758,,1898.780431999825,5236.745330000296,2567.948853999842,,,,2.6684934618218845,1.189437530289588,1.3651589111742721,,,22072
273,332,,125.0,193.0,,14.0,,7502.431599956937,,1866.8557250001468,5347.268565956969,,1845.0537109998986,,,1.7364910560010898,0.6318301039499098,,6.378354682085529,,221354
274,88,,50.0,13.0,25.0,,,8159.681096999906,,1827.9589240001515,5133.98297200026,2905.008495999966,,,,4.088508581564817,1.6958543530849253,1.7969291618237209,,,221356
275,33,,,33.0,,,,5134.055879000109,,,5134.055879000109,,,,,,1.3801911676306438,,,,221851
276,60,,,24.0,36.0,,,7856.409294000361,,,5091.020196000114,2391.3325000000186,,,,,1.3604431009936389,1.4574992098349324,,,222582
277,41,,,9.0,32.0,,,7631.073251999915,,,4865.698205000255,2390.284039999824,,,,,1.3849305285955127,1.4549232133569296,,,223238
278,21,,,9.0,12.0,,,6210.989069999661,,,4701.040689999703,1101.9818750000559,,,,,1.1880292493468296,1.4704525433983795,,,223315
279,28,,,13.0,15.0,,,7856.397568000015,,,5424.0920350002125,2093.232719999738,,,,,1.3496941043816506,1.3299367548978014,,,224383
280,38,,,38.0,,,,4409.999605000019,,,4409.999605000019,,,,,,1.1313608673827278,,,,224619
281,21,,,21.0,,,,5101.093255000189,,,5101.093255000189,,,,,,1.3209085390673532,,,,224983
282,65,,,65.0,,,,5149.9242710000835,,,5149.9242710000835,,,,,,1.0878622410775955,,,,225213
283,67,,,51.0,16.0,,,8143.692719000392,,,5270.604004000314,2488.062720000278,,,,,1.6557630361903473,2.557683843046093,,,22879
284,209,,155.0,34.0,20.0,,,8026.018256151583,,1905.78394715162,5126.102981483564,2525.1915170000866,,,,1.1997098194094202,0.8458256400265722,1.2366880678260759,,,23249
285,69,,,60.0,9.0,,,6840.087913000025,,,5082.007693000138,1354.0812269998714,,,,,1.0592546414300703,1.4520606324660894,,,232979
286,112,,35.0,65.0,12.0,,,7489.604086000007,,830.8644659998827,5291.642738581169,1811.0148149998859,,,,2.1535505271747315,1.08279523958303,1.9955200410680658,,,23356
287,174,,26.0,131.0,17.0,,,8096.986917774193,,556.7968551395461,5321.695355774369,2435.131053000223,,,,2.6431401763077735,0.8388974598189941,1.9295895767390436,,,23439
288,66,,,46.0,20.0,,,7729.951900999993,,,5327.633255000226,2369.3524189996533,,,,,1.1364799497102407,1.3084352177429448,,,24040
289,31,,,17.0,14.0,,,7638.131624999922,,,5238.73663600022,2060.3034609998576,,,,,1.6243010981923214,1.6089719001840834,,,24213
290,86,,,61.0,25.0,,,8013.994024000131,,,5174.851836999878,2554.946956000291,,,,,1.1274741765233423,1.3616717350958032,,,24238
291,27,,,12.0,15.0,,,8028.048680000007,,,5252.783459999599,2435.117407000158,,,,,1.587976402720495,1.5710972030016495,,,24341
292,103,,,88.0,15.0,,,7652.955864000134,,,5252.609312999994,2059.226666999981,,,,,0.7468577430235241,1.331858361064479,,,24496
293,33,,,15.0,18.0,,,7964.155018448364,,,5081.007210999727,2479.17909144843,,,,,1.1216794233744767,1.7478610997756032,,,245409
294,29,,,16.0,13.0,,,7638.126805000007,,,5237.781388999894,2059.207511000335,,,,,3.0959465286674375,3.405221753154133,,,24727
295,42,,,9.0,33.0,,,8030.07735699974,,,5155.031072000042,2679.6636919998564,,,,,1.4423357267642465,1.6356022257240448,,,24892
296,28,,,15.0,13.0,,,8110.822954999749,,,5235.822589848656,2531.9014929998666,,,,,1.1022601330644808,1.54252570092212,,,24916
297,67,,,53.0,14.0,,,8013.989951999858,,,5174.864048999734,2435.1482529998757,,,,,1.627187660030105,3.565944039868784,,,25329
298,51,,,45.0,,6.0,,7045.863156999927,,,5160.879331999924,,510.7234200001694,,,,1.0569452891540048,,5.8947207383484965,,25665
299,21,,,11.0,10.0,,,6252.900009999983,,,5146.914801999927,764.928912000265,,,,,1.1988560529482104,1.510664084507116,,,25682
300,30,,,17.0,13.0,,,6343.77150200028,,,5236.786213000305,764.9284029998817,,,,,2.2193649367078394,2.183712450801372,,,25825
301,32,,,32.0,,,,3584.132269000169,,,3584.132269000169,,,,,,5.764665027529445,,,,25998
302,39,,,28.0,11.0,,,7338.837284000125,,,5269.601056999993,1727.1866440000013,,,,,1.0965572855396886,1.207561945323635,,,26151
303,31,,,18.0,13.0,,,7652.1667679999955,,,5188.871593999676,2151.109074000269,,,,,1.8164422935952036,1.7293904247821745,,,26161
304,33,,,33.0,,,,1800.1414509997703,,,1800.1414509997703,,,,,,1.3746089231838898,,,,263175
305,61,,,47.0,14.0,,,7612.051880593412,,,5093.093998000026,2141.0008565932512,,,,,1.1543487604826308,1.9490800259625511,,,265866
306,27,,,11.0,16.0,,,7947.2210706942715,,,5126.991626000032,2478.1989706945606,,,,,1.0467469405647307,1.769549382290814,,,26794
307,428,,132.0,187.0,7.0,102.0,,11535.84093112545,,1925.7603667904623,5344.657728125341,620.2284958213568,8122.937508000061,,,1.5397939531434002,0.7143305543903535,1.219014669257975,4.076143020462958,,26965
308,53,,,27.0,26.0,,,7528.4118170002475,,,5127.009514000267,2179.0574190001935,,,,,1.124302178673488,1.3271189000750585,,,28005
309,22,,,13.0,9.0,,,6971.915024999995,,,5082.022894999944,1485.891701000277,,,,,1.4385823205422315,2.5494814826859127,,,281540
310,27,,,10.0,17.0,,,7998.116510999855,,,5126.998478000052,2484.156423999928,,,,,0.9974933439023258,1.624883476618957,,,283
311,33,,,23.0,10.0,,,7140.321378000081,,,5065.087223000359,1671.2540159998462,,,,,0.9444755506311078,1.2388885604332343,,,28343
312,74,,,56.0,18.0,,,7506.354724999983,,,5044.024828999769,2058.3634500000626,,,,,1.2244786308459439,1.8878607200883244,,,285968
313,63,,,46.0,,17.0,,6995.9403409999795,,,4847.745978999883,,3708.7991482871585,,,,1.1473439108816472,,9.264340644155222,,28946
314,24,,,24.0,,,,459.74697000021115,,,459.74697000021115,,,,,,2.45280937127452,,,,29697
315,56,,,56.0,,,,5267.665174000431,,,5267.665174000431,,,,,,1.1442161793102277,,,,29883
316,31,,,18.0,13.0,,,7652.163929999806,,,5188.8479809998535,2149.100058000069,,,,,1.3589883962745781,1.2915423119964853,,,30708
317,50,,,28.0,22.0,,,7528.369036999997,,,5125.986630000174,2059.3466199999675,,,,,1.4945448609179641,1.5717801866552956,,,31253
318,39,,,39.0,,,,159.83004899974912,,,159.83004899974912,,,,,,1.954380589197914,,,,3130-1591-1
319,27,,,27.0,,,,2552.001852999907,,,2552.001852999907,,,,,,5.872898386111406,,,,31423
320,189,,123.0,66.0,,,,1106.022543462459,,1106.022543462459,896.666208405979,,,,,1.1044428616004835,0.6038229223442636,,,,3167
321,29,,,12.0,17.0,,,7638.137453000061,,,5235.754350999836,2059.383229000028,,,,,1.2830353410035231,1.3318327750165138,,,31966
322,311,,118.0,160.0,,33.0,,11522.630005167797,,1906.6218739999458,5265.532050721347,,7500.65865600016,,,1.6989507788137943,0.5616681010200626,,4.615655666671252,,32147
323,224,,133.0,67.0,,24.0,,7416.842486000154,,1905.6793579999357,4587.593893791083,,4013.952251537703,,,2.4648248372750996,1.5208842173013424,,5.379269942272315,,32923
324,98,,,84.0,14.0,,,7529.3303840002045,,,5064.1187060000375,2235.0599540001713,,,,,1.0976775055962344,1.3504954901299104,,,32963
325,28,,,10.0,18.0,,,8110.796655999962,,,5172.8041535872035,2532.042082999833,,,,,1.5412168425396164,1.4542506631127838,,,33021
326,68,,,30.0,25.0,13.0,,7760.961938000284,,,5260.860155000351,2233.000578999985,3709.984655946493,,,,1.3215966214306134,1.697412776395127,7.429452660045917,,33636
327,37,,,27.0,10.0,,,7218.203040999826,,,5049.151490000077,1817.9535650000907,,,,,1.208726522823074,1.6359016980765342,,,33793
328,507,,143.0,75.0,10.0,279.0,,11561.777180000208,,1905.6902540000156,5308.669017000124,1089.8362030000426,8197.927804430015,,,1.9765349433495645,1.1536869785026536,1.4276233060644217,4.022816849096197,,34411
329,139,,,116.0,23.0,,,7760.960951999761,,,5296.601969999727,2206.0303360000253,,,,,1.2300416187598533,1.5031094352970205,,,34445
330,30,,,14.0,16.0,,,6988.852237999905,,,5230.770176999737,1527.8450350002386,,,,,1.1335201879809282,1.4168316341705869,,,34575
331,78,,20.0,40.0,18.0,,,8218.596220000181,,1882.7608559997752,5281.599090000149,2532.0154520003125,,,,3.289238299065551,1.3252887335669266,1.6547594573895024,,,34721
332,27,,,12.0,15.0,,,7638.127325000241,,,5173.774848000146,2086.2133690002374,,,,,1.7960551880648734,1.89665794790289,,,34745
333,23,,,11.0,12.0,,,7670.1815059999935,,,5205.833970999811,2060.3286340003833,,,,,1.8145106638036335,2.079995901541509,,,35627
334,24,,,12.0,12.0,,,8149.77401699964,,,5265.609051999636,2505.152788999956,,,,,1.7198495916616414,1.7847835357102264,,,35974
335,84,,,64.0,20.0,,,8217.579679999966,,,5281.615414265543,2678.5941549995914,,,,,0.972162370593711,1.4857763737522767,,,36003
