,name,teff_c,teff_err_c,fe_c,fe_err_c,logg_c,logg_err_c,radius_c,radius_err_c,mass_c,mass_err_c,star,mv,bvcolor,parallax
279,211080,5764.558216975,90.24791836645001,0.329877184463,0.060737075276574994,3.9868697018650003,0.037171731642625,1.89748023841,0.04509354072885,1.2598672953299999,0.081751483371125,211080,3.25775941443227,0.72,0.013684299999999998
280,211681,5708.56768024,79.93096562640001,0.35391313769199995,0.0562768332308,4.08241449684,0.03496206003025,1.67222258528,0.039350536151199995,1.23707901566,0.07209367679419999,211681,3.84763506877174,0.7,0.0138215
281,212291,5589.734707025,79.97156744757501,-0.119029798113,0.057683885250075013,4.515793695279998,0.0274847460909,0.8685736089675,0.018133361614375003,0.9035644434385001,0.037523882545675,212291,5.31038548797078,0.7,0.0303338
282,212801,5279.62793868,97.82596955845,0.0216367522452,0.0615803404194,3.6424960114,0.0213915338369,3.03672536418,0.08112805454210001,1.48705280047,0.03290745987405,212801,3.1887353697318304,0.79,0.0113749
283,21313,5885.454215,93.76536830344999,0.17026556482900002,0.06040182823585,4.23558800242,0.0284931674516,1.34288452162,0.0344703108093,1.13665702477,0.049259891010550005,21313,3.91683553896893,0.57,0.0150037
284,213472,5729.54094223,99.37384155275,0.124936876484,0.062411022539400014,4.1449212845300005,0.03156082743045,1.43390156808,0.033485800624,1.0481317094299998,0.05066557164175,213472,4.12725507232448,0.7,0.0154864
285,213519,5759.09514811,92.9514224567,-0.00988336045764,0.05970103733375,4.3133029457699985,0.0308466857711,1.12902294537,0.026450773753900002,0.960413495898,0.0440042606425,213519,4.5118167730786505,0.6,0.0243605
286,213628,5554.63971314,85.34229520835002,0.0466980119376,0.05879462902505,4.44840446633,0.033912877797950006,0.952272524034,0.02166674074595,0.931206021336,0.04695101855945,213628,5.27425010840047,0.72,0.0298043
287,214683,4874.57997074,67.13671705915,-0.26179915523,0.05737459058074999,4.621899920980001,0.0168478407364,0.6802205746259999,0.011283351946000001,0.709407091894,0.023752039005,214683,6.70219294733919,0.938,0.0444309
288,215152,4916.02009572,64.5299693942,0.041393723348300014,0.05683843790545,4.56419314871,0.0224633675655,0.769709664962,0.013630484160549999,0.79629458795,0.02874846032725,215152,6.44539602732108,0.97,0.0462733
289,215578,4827.52736385,33.32253297185,0.214915433442,0.0561428383977,2.80144017895,0.03474349432005,10.252483726,0.4688658972995,2.49052934422,0.1022906309972,215578,4.33181677307865,0.969999,0.0042088
290,216259,5122.83778741,38.67345541665,-0.5562131341759999,0.04279712410225,4.61188288217,0.01162990427437,0.6728232751019999,0.0050619256739,0.677248143756,0.016103284341850002,216259,6.68620922973327,0.84,0.0443578
291,216520,5160.00614319,69.52509013599999,-0.123974278427,0.0567442542419,4.54530646242,0.0234847619846,0.782766905958,0.01406901682795,0.791262806096,0.03000188191565,216520,6.031354686782191,0.86,0.0511167
292,217004,5693.22400274,97.2037699626,-0.0297459417847,0.0615214035256,3.99475014367,0.0982809631048,1.67539741063,0.25066947020700003,1.03793792282,0.08323776775149999,217004,3.41431496660963,0.679,-1.0
293,217014,5760.76290103,95.49206000705,0.20578539957000005,0.059869657533250006,4.3173525873,0.03084871457625,1.18674402754,0.027702836484050003,1.0692960810299998,0.0474389516249,217014,4.55790494284096,0.67,0.0646488
