# period  BIC_array
3.544703775788407256e+02 6.523248354009183458e+00
3.569797914550724727e+02 1.348944234143522181e+01
3.595249886064491420e+02 1.411944667717557422e+01
3.621067399127727526e+02 1.326744590257635537e+01
3.647258385567746473e+02 1.219891808966218605e+01
3.673831008365710886e+02 1.166929223013252681e+01
3.700793670138956486e+02 9.568369641656772728e+00
3.728155021999589849e+02 7.960425071392819518e+00
3.755923972808986946e+02 7.406791327527798785e+00
3.784109698848978951e+02 8.549155994568792494e+00
3.812721653931790797e+02 1.105915300254932276e+01
3.841769579972122983e+02 1.176764283095357655e+01
3.871263518046224021e+02 9.544563898135152158e+00
3.901213819964302729e+02 9.654913419075569436e+00
3.931631160384328041e+02 1.011674093761547510e+01
3.962526549496974440e+02 8.048693824691127929e+00
3.993911346313395825e+02 8.818291949573307420e+00
4.025797272589489353e+02 4.398965308349886527e+00
4.058196427422543593e+02 7.501275543967778958e+00
4.091121302558428283e+02 2.982934310509961051e+00
4.124584798450022731e+02 4.473223057716722906e+00
4.158600241110242450e+02 6.573190225136329445e+00
4.193181399805922638e+02 8.315968602881156357e+00
4.228342505641924731e+02 1.025691097522826567e+01
4.264098271088127490e+02 1.186626710193067424e+01
4.300463910505636704e+02 1.147252534833120308e+01
4.337455161732337956e+02 8.746217008755024835e+00
4.375088308792166458e+02 6.016552633742378475e+00
4.413380205796896689e+02 4.876486950441176305e+00
4.452348302114205012e+02 4.433007834203408493e+00
4.492010668880930098e+02 5.600932540022370176e+00
4.532386026946193169e+02 8.584159166639608429e+00
4.573493776335128587e+02 9.932046913389569909e+00
4.615354027330684517e+02 1.028414417818711968e+01
4.657987633278100930e+02 1.004572133068802486e+01
4.701416225224473351e+02 8.867356111171602606e+00
4.745662248514361750e+02 3.045036687592727276e+00
4.790749001471448310e+02 1.184342911051209057e+01
4.836700676306345486e+02 1.132446426190779221e+01
4.883542402401510003e+02 1.595761814041088655e+01
4.931300292135883865e+02 1.956416337367059555e+01
4.980001489424970487e+02 2.273824129464486532e+01
5.029674221165822701e+02 2.471999998224364958e+01
5.080347851791863150e+02 2.235691338995795263e+01
5.132052941159122383e+02 1.776830126743362825e+01
5.184821306003599375e+02 1.181556328311626203e+01
5.238686085229477385e+02 1.383099416941223581e+01
5.293681809309758819e+02 1.575335969647306911e+01
5.349844474104621668e+02 1.865501130725976964e+01
5.407211619429225493e+02 2.076497886021516592e+01
5.465822412731238273e+02 1.542377180717852525e+01
5.525717738270053587e+02 1.383102864755642258e+01
5.586940292224472842e+02 1.114265967765823007e+01
5.649534684193673684e+02 9.463894628836811762e+00
5.713547545598612487e+02 9.219208033606292929e+00
5.779027645537485114e+02 1.000999914739526275e+01
5.846026014700031510e+02 1.099569377312690222e+01
5.914596078002524564e+02 2.014127416419995598e+01
5.984793796667820516e+02 2.047593230404896758e+01
6.056677820544643964e+02 1.690054232908158838e+01
