,Unnamed: 0,Unnamed: 0.1,P,e,M0,w,K,v0,dv0_1,wmod,M,a
48,48,48,10127.03405220182,0.3966847801984589,-2.060470459731321,0.7540440104595181,26.41356761045125,30.911810702784816,-3.6014143595139485,0.7540440104595181,2.744596144521704,9.446396168211063
49,49,49,19929.823534079183,0.53056672825199,2.0899701547708904,0.5171832773376792,32.92656874632794,44.897619837078636,-4.863253732077412,0.5171832773376792,3.5261115341678244,14.000062543494094
50,50,50,10154.906324992427,0.475898904568009,-2.0763214650157464,0.9249751509095344,27.99549939383965,32.450716856389974,-6.298231300567478,0.9249751509095344,2.7613714438571977,9.415607470080026
51,51,51,58667.92576712539,0.7680112868279141,0.7098202822085891,-2.663989049580164,40.306155523632455,64.17962000317955,-5.655635277839688,0.4776036040096292,4.770159594827163,29.05046975581515
52,52,52,22937.1923882281,0.5830547772784063,1.8535405812698824,-2.536801606184314,34.875463645182464,49.15812525067546,-4.7664698722652,0.6047910474054792,4.053870871876274,15.983112312145245
53,53,53,11521.127137645613,0.44475276735687225,-2.5861751004480835,0.8112686128168907,28.941823403601152,34.893169955449906,-6.14284804832088,0.8112686128168907,2.8824386031584828,9.986299492418457
54,54,54,10399.112141697102,0.3941733358623044,-2.213846473676295,-2.4543486349190164,26.587971041737546,31.617471629868607,-5.594779705831286,0.6872440186707767,2.7382529541226863,9.524364856267509
55,55,55,25028.120324224103,0.611807064368778,1.6215842813349797,0.2781389092458864,30.78193603588615,45.94170795388153,-4.490812832048822,0.2781389092458864,3.5177699476168707,16.777208284454083
56,56,56,14529.195192175539,0.4701857722604702,2.882223958188592,0.5215166507062108,28.945646416373037,38.018354589341435,-4.187932877933632,0.5215166507062108,3.0479215887641367,11.616280435981691
57,57,57,21839.99320458544,0.5385344036456811,1.7934408150095846,-3.1229528581859625,27.812823520697087,40.086873338654925,-4.5132091436106165,0.01863979540383065,3.241322415185585,15.33427292745607
