# period  BIC_array
1.917367009717331712e+02 4.298775686065710033e-01
1.922449406441597546e+02 7.242237213563385012e-01
1.927558818764155717e+02 1.735698764635799307e+00
1.932695462662086072e+02 3.016650778346956940e+00
1.937859556420800402e+02 4.129335696970429126e+00
1.943051320664964976e+02 4.735013384882222454e+00
1.948270978389918753e+02 4.484511936738726945e+00
1.953518754993604034e+02 3.566976112414522504e+00
1.958794878309008141e+02 2.429428474486485356e+00
1.964099578637138279e+02 1.593725024607010710e+00
1.969433088780529602e+02 1.149496861125044234e+00
1.974795644077303223e+02 9.764807613091761596e-01
1.980187482435780169e+02 8.034317283650125319e-01
1.985608844369666031e+02 4.647315160195830686e-01
1.991059973033811730e+02 1.048265875542711001e-01
1.996541114260570851e+02 7.177057770968531258e-02
2.002052516596751843e+02 6.970506437396579713e-01
2.007594431341190102e+02 2.051855848724699172e+00
2.013167112582942195e+02 3.823319873936270596e+00
2.018770817240120152e+02 5.409254019878517283e+00
2.024405805099373197e+02 6.160308324559537141e+00
2.030072338856037675e+02 5.684611094782667351e+00
2.035770684154956029e+02 4.128896656677170540e+00
2.041501109631993245e+02 2.192713827364059398e+00
2.047263886956248200e+02 7.220374235084818793e-01
2.053059290872990630e+02 1.443117063563477132e-01
2.058887599247319713e+02 3.752517855127734947e-01
2.064749093108579530e+02 1.082661048422323802e+00
2.070644056695524000e+02 1.687810613099372858e+00
2.076572777502266831e+02 2.055478470806519908e+00
2.082535546325017606e+02 2.219911978656455176e+00
2.088532657309628462e+02 2.243710664405170974e+00
2.094564407999962725e+02 2.079279759451310383e+00
2.100631099387105394e+02 1.702524535566226405e+00
2.106733035959429117e+02 1.144548838916762179e+00
2.112870525753540676e+02 5.390802830447682936e-01
2.119043880406112237e+02 2.652739438281059847e-01
2.125253415206632326e+02 8.696749524806364207e-01
2.131499449151080796e+02 2.512786397342551936e+00
2.137782304996557912e+02 4.608795991140596016e+00
2.144102309316876358e+02 6.326439554090484307e+00
2.150459792559150571e+02 7.120049607050077611e+00
2.156855089101386511e+02 6.874421961154439487e+00
2.163288537311111952e+02 5.653646227311583061e+00
2.169760479605048147e+02 4.170646692500667996e+00
2.176271262509867483e+02 2.603211122991069715e+00
2.182821236724037419e+02 1.788267796591298975e+00
2.189410757180794747e+02 1.443895123402398895e+00
2.196040183112253885e+02 1.350567019257596257e+00
2.202709878114693254e+02 1.381339024227145273e+00
2.209420210215025975e+02 1.595081126150489581e+00
2.216171551938497259e+02 2.090028339588116069e+00
2.222964280377619275e+02 2.747881593878446438e+00
2.229798777262385556e+02 3.307135376685437222e+00
2.236675429031775479e+02 3.635158041799968487e+00
2.243594626906596261e+02 3.786589674354218005e+00
2.250556766963671578e+02 3.814924988773782388e+00
2.257562250211422850e+02 3.899301195584030211e+00
2.264611482666861093e+02 4.312884373436190799e+00
2.271704875434031976e+02 5.075503595016016334e+00
2.278842844783932549e+02 5.853397139936987514e+00
2.286025812235945693e+02 6.221191200512294017e+00
2.293254204640815033e+02 6.114007991021935595e+00
2.300528454265202356e+02 6.050993302208098612e+00
2.307848998877855990e+02 7.344557432884812442e+00
2.315216281837434735e+02 1.126242912417137632e+01
2.322630752182012372e+02 1.818400051458502276e+01
2.330092864720315333e+02 2.632224669136439843e+01
2.337603080124716257e+02 3.215445481050892340e+01
2.345161865026041426e+02 3.284246133015540181e+01
2.352769692110213668e+02 2.819578983983410581e+01
2.360427040216791283e+02 2.063097913132469330e+01
2.368134394439429116e+02 1.318034927834651171e+01
2.375892246228324325e+02 7.986821211852657143e+00
2.383701093494669863e+02 5.686876982671947189e+00
2.391561440717188134e+02 5.669771761944502941e+00
2.399473799050766729e+02 7.037556274443886650e+00
2.407438686437268416e+02 9.056643912547770014e+00
2.415456627718547509e+02 1.113812720493160668e+01
2.423528154751737986e+02 1.339454906007404134e+01
2.431653806526855419e+02 1.581848883022030350e+01
2.439834129286779216e+02 1.775684707059281209e+01
2.448069676649658675e+02 1.817565377351320421e+01
2.456361009733807634e+02 1.664569253389072401e+01
2.464708697285151970e+02 1.355397158373170896e+01
2.473113315807273693e+02 9.932869303422194207e+00
2.481575449694137205e+02 7.238447765178534610e+00
2.490095691365537220e+02 6.985014725514247402e+00
2.498674641405358727e+02 1.015579493117184029e+01
2.507312908702694187e+02 1.660431425550814311e+01
2.516011110595906928e+02 2.475423489111108211e+01
2.524769873019695297e+02 3.199895316708807513e+01
2.533589830655248534e+02 3.575235878885177954e+01
2.542471627083550914e+02 3.397847240516966849e+01
2.551415914941931646e+02 2.816055289001178608e+01
2.560423356083921362e+02 2.144283905957354364e+01
2.569494621742516642e+02 1.658608999813532137e+01
2.578630392696917397e+02 1.562110968807792233e+01
2.587831359442842540e+02 1.719243816859807339e+01
2.597098222366498135e+02 1.908664153669406005e+01
2.606431691922302889e+02 1.961564345626811701e+01
2.615832488814453427e+02 1.973443468319646854e+01
2.625301344182441312e+02 2.194715714532230777e+01
2.634838999790600838e+02 2.816655867740018948e+01
2.644446208221822303e+02 3.796694888053661998e+01
2.654123733075497285e+02 4.764964837325942426e+01
2.663872349169845961e+02 5.188120337058126097e+01
2.673692842748703811e+02 4.879108682642254280e+01
2.683586011692913758e+02 3.972451068145574027e+01
2.693552665736411882e+02 2.919527402341509514e+01
2.703593626687166989e+02 2.176622011142808333e+01
2.713709728653057596e+02 1.871308307258823334e+01
2.723901818272861419e+02 2.053055155761876449e+01
2.734170754952449442e+02 2.611786586449761671e+01
2.744517411106359646e+02 3.271612558857304975e+01
2.754942672404862947e+02 3.769116465891829648e+01
2.765447438026693590e+02 3.944062784723473669e+01
2.776032620917573581e+02 3.793804802514341645e+01
2.786699148054703983e+02 3.407730348282848354e+01
2.797447960717372553e+02 2.956516983157325740e+01
2.808280014763855092e+02 2.641630067349706223e+01
2.819196280914763975e+02 2.540786362413064126e+01
2.830197745043045643e+02 2.600970412426704570e+01
2.841285408470778862e+02 2.707682801873397693e+01
2.852460288272990852e+02 2.766365724058323394e+01
2.863723417588660141e+02 2.837932889585636076e+01
2.875075845939127248e+02 2.966580601802252204e+01
2.886518639554096808e+02 3.214040379488415056e+01
2.898052881705470440e+02 3.379400411996994080e+01
2.909679673049197959e+02 3.249346593876771294e+01
2.921400131975410090e+02 2.707902154771727510e+01
2.933215394967028260e+02 1.988680125380506070e+01
2.945126616967128825e+02 1.422834003713614948e+01
2.957134971755282322e+02 1.159815175466519577e+01
2.969241652333143975e+02 1.128142578593269718e+01
2.981447871319552405e+02 1.203451908098304557e+01
2.993754861355413937e+02 1.279689120120792722e+01
3.006163875518656710e+02 1.273261559132924958e+01
3.018676187749548490e+02 1.122332305514783002e+01
3.031293093286677163e+02 8.459189405699817144e+00
3.044015909113915654e+02 5.198993697048081231e+00
3.056845974418684477e+02 2.598915796863366268e+00
3.069784651061859222e+02 1.463536970249151636e+00
3.082833324059651545e+02 2.110052507423006318e+00
3.095993402077849055e+02 3.847103295207944029e+00
3.109266317938749467e+02 5.774864407911081798e+00
3.122653529141209674e+02 7.214078009085369558e+00
3.136156518394167847e+02 7.849846094959957554e+00
3.149776794164088187e+02 7.670105970272288687e+00
3.163515891236713742e+02 6.922843568260759639e+00
3.177375371293605326e+02 5.897002591912041680e+00
3.191356823503880946e+02 4.745044434391274990e+00
3.205461865131667878e+02 3.659019547124444216e+00
3.219692142159718173e+02 3.077476168837165460e+00
3.234049329929722489e+02 3.462563902648071235e+00
3.248535133799819050e+02 4.794846296510058892e+00
3.263151289819867884e+02 6.335508761839264480e+00
3.277899565425019546e+02 7.528622558754250349e+00
3.292781760148196781e+02 8.164551470992137183e+00
3.307799706352052453e+02 8.200407621534850477e+00
3.322955269981071638e+02 7.685311399160582368e+00
3.338250351334420998e+02 6.685002625389643072e+00
3.353686885860265079e+02 5.388488747646988486e+00
3.369266844972199237e+02 3.979825379004523711e+00
3.384992236888569437e+02 2.564985215607521241e+00
3.400865107495382063e+02 1.221331025635208789e+00
3.416887541233630827e+02 2.581113471342177945e-01
3.433061662011804742e+02 1.519888614930096082e-01
3.449389634144446291e+02 1.148390333359202486e+00
3.465873663317620412e+02 3.119877132783585694e+00
3.482515997582193563e+02 5.540869547857255384e+00
3.499318928375879523e+02 7.598018951223821205e+00
3.516284791574997826e+02 8.430300740977145324e+00
3.533415968576999830e+02 7.840517264536174480e+00
3.550714887414769692e+02 6.169028734921539581e+00
3.568184023903843354e+02 3.944189785465823661e+00
3.585825902823636397e+02 1.658499313377888029e+00
3.603643099133908549e+02 5.557531867557372607e-01
3.621638239227657436e+02 2.400338758246562065e+00
3.639814002221754663e+02 7.152931648637149920e+00
3.658173121286628202e+02 1.191596044362540852e+01
3.676718385016402522e+02 1.385049446590755906e+01
3.695452638840915256e+02 1.287735096485494068e+01
3.714378786481133830e+02 9.872769966363193817e+00
3.733499791449514760e+02 7.140337900397298654e+00
3.752818678596959217e+02 4.870075599991650961e+00
3.772338535708026370e+02 3.390998563187167747e+00
3.792062515146214423e+02 2.616105682819124922e+00
3.811993835551102734e+02 2.246500956637191848e+00
3.832135783589323523e+02 1.942515949147491483e+00
3.852491715761317437e+02 1.687167660858904128e+00
3.873065060265998341e+02 1.413303290146359359e+00
3.893859318925469779e+02 1.000741386930712906e+00
3.914878069172095252e+02 4.722915384131738392e-01
3.936124966100254596e+02 8.603000438733943156e-02
3.957603744585298955e+02 3.335130111531725561e-01
3.979318221472240680e+02 1.702248406920716661e+00
4.001272297836914618e+02 4.201408055960655474e+00
4.023469961322384734e+02 7.284168688353929610e+00
4.045915288553571827e+02 1.011187409249578195e+01
4.068612447633141187e+02 1.194128207655649021e+01
4.091565700721887424e+02 1.234062023348724324e+01
4.114779406706945224e+02 1.024464924633866758e+01
4.138258023961362255e+02 6.164262857748781244e+00
4.162006113198674484e+02 2.107756030884502252e+00
4.186028340426353793e+02 1.396470821850925859e-01
4.210329480002112632e+02 1.189984039005139493e+00
4.234914417797304509e+02 3.652133328722811711e+00
4.259788154471785901e+02 6.266949039728388016e+00
4.284955808864890514e+02 8.104324570551852958e+00
4.310422621507305507e+02 8.828930584820227523e+00
4.336193958258946850e+02 8.769436982859133423e+00
4.362275314078102610e+02 8.211102671051776269e+00
4.388672316927447241e+02 7.396792706643282145e+00
4.415390731822706698e+02 6.339244596131266007e+00
4.442436465030149861e+02 5.080048151859500649e+00
4.469815568419269880e+02 3.691603634618786600e+00
4.497534243977444248e+02 2.255109451191856351e+00
4.525598848493598325e+02 1.139728870954058948e+00
4.554015898418351753e+02 5.992736181219697755e-01
4.582792074908404061e+02 9.616511417157198593e-01
4.611934229063406860e+02 2.183367427916891756e+00
4.641449387363911683e+02 4.016783042463430320e+00
4.671344757319458267e+02 6.128431576030379802e+00
4.701627733336391088e+02 8.150757735607840004e+00
4.732305902815361947e+02 9.541613248617977661e+00
4.763387052489140387e+02 9.800506987132848735e+00
4.794879175011808456e+02 8.737416620856492955e+00
4.826790475811112060e+02 6.763327658738489845e+00
